Generated 220000   programs,  absolute time: 0:05:33.567180,  relative time: 0:00:00.000392
Generated 220000   programs,  absolute time: 0:05:33.567567,  relative time: 0:00:00.000387
Generated 220000   programs,  absolute time: 0:05:33.567942,  relative time: 0:00:00.000375
Generated 220000   programs,  absolute time: 0:05:33.568522,  relative time: 0:00:00.000580
Generated 220000   programs,  absolute time: 0:05:33.568872,  relative time: 0:00:00.000350
Generated 230000   programs,  absolute time: 0:05:48.410855,  relative time: 0:00:14.841983
Generated 240000   programs,  absolute time: 0:06:03.272057,  relative time: 0:00:14.861202
Generated 250000   programs,  absolute time: 0:06:18.136912,  relative time: 0:00:14.864855
Generated 260000   programs,  absolute time: 0:06:33.067227,  relative time: 0:00:14.930315
Generated 270000   programs,  absolute time: 0:06:48.116649,  relative time: 0:00:15.049422
Generated 270000   programs,  absolute time: 0:06:48.117156,  relative time: 0:00:00.000507
Generated 270000   programs,  absolute time: 0:06:48.117537,  relative time: 0:00:00.000381
Generated 270000   programs,  absolute time: 0:06:48.117956,  relative time: 0:00:00.000419
Generated 280000   programs,  absolute time: 0:07:03.126733,  relative time: 0:00:15.008777
Generated 280000   programs,  absolute time: 0:07:03.127065,  relative time: 0:00:00.000332
Generated 280000   programs,  absolute time: 0:07:03.127449,  relative time: 0:00:00.000384
Generated 280000   programs,  absolute time: 0:07:03.127900,  relative time: 0:00:00.000451
Generated 290000   programs,  absolute time: 0:07:18.257416,  relative time: 0:00:15.129516
Generated 300000   programs,  absolute time: 0:07:33.305140,  relative time: 0:00:15.047724
Generated 300000   programs,  absolute time: 0:07:33.305546,  relative time: 0:00:00.000406
Generated 310000   programs,  absolute time: 0:07:48.202830,  relative time: 0:00:14.897284
Generated 320000   programs,  absolute time: 0:08:02.874705,  relative time: 0:00:14.671875
Generated 320000   programs,  absolute time: 0:08:02.875096,  relative time: 0:00:00.000391
Generated 320000   programs,  absolute time: 0:08:02.875481,  relative time: 0:00:00.000385
Generated 320000   programs,  absolute time: 0:08:02.875864,  relative time: 0:00:00.000383
Generated 320000   programs,  absolute time: 0:08:02.876256,  relative time: 0:00:00.000392
Generated 320000   programs,  absolute time: 0:08:02.876695,  relative time: 0:00:00.000439
Generated 330000   programs,  absolute time: 0:08:17.898267,  relative time: 0:00:15.021572
Generated 340000   programs,  absolute time: 0:08:32.704238,  relative time: 0:00:14.805971
Generated 340000   programs,  absolute time: 0:08:32.704639,  relative time: 0:00:00.000401
Generated 340000   programs,  absolute time: 0:08:32.705024,  relative time: 0:00:00.000385
Generated 340000   programs,  absolute time: 0:08:32.705398,  relative time: 0:00:00.000374
Generated 340000   programs,  absolute time: 0:08:32.705861,  relative time: 0:00:00.000463
Generated 340000   programs,  absolute time: 0:08:32.706250,  relative time: 0:00:00.000389
Generated 350000   programs,  absolute time: 0:08:47.641450,  relative time: 0:00:14.935200
Generated 350000   programs,  absolute time: 0:08:47.641778,  relative time: 0:00:00.000328
Generated 350000   programs,  absolute time: 0:08:47.642112,  relative time: 0:00:00.000334
Generated 360000   programs,  absolute time: 0:09:02.340803,  relative time: 0:00:14.698691
Generated 360000   programs,  absolute time: 0:09:02.341238,  relative time: 0:00:00.000435
Generated 360000   programs,  absolute time: 0:09:02.341684,  relative time: 0:00:00.000446
Generated 360000   programs,  absolute time: 0:09:02.342094,  relative time: 0:00:00.000410
Generated 360000   programs,  absolute time: 0:09:02.342564,  relative time: 0:00:00.000470
Generated 360000   programs,  absolute time: 0:09:02.342889,  relative time: 0:00:00.000325
Generated 360000   programs,  absolute time: 0:09:02.343280,  relative time: 0:00:00.000391
Generated 360000   programs,  absolute time: 0:09:02.343670,  relative time: 0:00:00.000390
Generated 360000   programs,  absolute time: 0:09:02.343986,  relative time: 0:00:00.000316
Generated 360000   programs,  absolute time: 0:09:02.344452,  relative time: 0:00:00.000466
Generated 360000   programs,  absolute time: 0:09:02.344864,  relative time: 0:00:00.000412
Generated 360000   programs,  absolute time: 0:09:02.345251,  relative time: 0:00:00.000387
Generated 360000   programs,  absolute time: 0:09:02.345695,  relative time: 0:00:00.000444
Generated 370000   programs,  absolute time: 0:09:17.309461,  relative time: 0:00:14.963766
Generated 370000   programs,  absolute time: 0:09:17.309848,  relative time: 0:00:00.000387
Generated 370000   programs,  absolute time: 0:09:17.310262,  relative time: 0:00:00.000414
Generated 370000   programs,  absolute time: 0:09:17.310656,  relative time: 0:00:00.000394
Generated 370000   programs,  absolute time: 0:09:17.310993,  relative time: 0:00:00.000337
Generated 370000   programs,  absolute time: 0:09:17.311409,  relative time: 0:00:00.000416
Generated 370000   programs,  absolute time: 0:09:17.311806,  relative time: 0:00:00.000397
Generated 380000   programs,  absolute time: 0:09:32.213171,  relative time: 0:00:14.901365
Generated 380000   programs,  absolute time: 0:09:32.213571,  relative time: 0:00:00.000400
Generated 390000   programs,  absolute time: 0:09:47.055096,  relative time: 0:00:14.841525
Generated 390000   programs,  absolute time: 0:09:47.055514,  relative time: 0:00:00.000418
Generated 390000   programs,  absolute time: 0:09:47.055934,  relative time: 0:00:00.000420
Generated 400000   programs,  absolute time: 0:10:02.094269,  relative time: 0:00:15.038335
Generated 410000   programs,  absolute time: 0:10:16.996437,  relative time: 0:00:14.902168
Generated 410000   programs,  absolute time: 0:10:16.997025,  relative time: 0:00:00.000588
Generated 410000   programs,  absolute time: 0:10:16.997362,  relative time: 0:00:00.000337
Generated 420000   programs,  absolute time: 0:10:31.890267,  relative time: 0:00:14.892905
Generated 420000   programs,  absolute time: 0:10:31.890665,  relative time: 0:00:00.000398
Generated 420000   programs,  absolute time: 0:10:31.891060,  relative time: 0:00:00.000395
Generated 420000   programs,  absolute time: 0:10:31.891467,  relative time: 0:00:00.000407
Generated 430000   programs,  absolute time: 0:10:46.567773,  relative time: 0:00:14.676306
Generated 440000   programs,  absolute time: 0:11:01.508728,  relative time: 0:00:14.940955
Generated 440000   programs,  absolute time: 0:11:01.509150,  relative time: 0:00:00.000422
Generated 440000   programs,  absolute time: 0:11:01.509581,  relative time: 0:00:00.000431
Generated 440000   programs,  absolute time: 0:11:01.509979,  relative time: 0:00:00.000398
Generated 440000   programs,  absolute time: 0:11:01.510364,  relative time: 0:00:00.000385
Generated 440000   programs,  absolute time: 0:11:01.510668,  relative time: 0:00:00.000304
Generated 450000   programs,  absolute time: 0:11:16.377625,  relative time: 0:00:14.866957
Generated 450000   programs,  absolute time: 0:11:16.378004,  relative time: 0:00:00.000379
Generated 450000   programs,  absolute time: 0:11:16.378636,  relative time: 0:00:00.000632
Generated 460000   programs,  absolute time: 0:11:31.467373,  relative time: 0:00:15.088737
Generated 460000   programs,  absolute time: 0:11:31.467843,  relative time: 0:00:00.000470
Generated 460000   programs,  absolute time: 0:11:31.468284,  relative time: 0:00:00.000441
Generated 460000   programs,  absolute time: 0:11:31.468691,  relative time: 0:00:00.000407
Generated 460000   programs,  absolute time: 0:11:31.469086,  relative time: 0:00:00.000395
Generated 460000   programs,  absolute time: 0:11:31.469407,  relative time: 0:00:00.000321
Generated 470000   programs,  absolute time: 0:11:46.286850,  relative time: 0:00:14.817443
Generated 470000   programs,  absolute time: 0:11:46.287243,  relative time: 0:00:00.000393
Generated 470000   programs,  absolute time: 0:11:46.287632,  relative time: 0:00:00.000389
Generated 470000   programs,  absolute time: 0:11:46.287983,  relative time: 0:00:00.000351
Generated 470000   programs,  absolute time: 0:11:46.288375,  relative time: 0:00:00.000392
Generated 470000   programs,  absolute time: 0:11:46.288812,  relative time: 0:00:00.000437
Generated 470000   programs,  absolute time: 0:11:46.289185,  relative time: 0:00:00.000373
Generated 470000   programs,  absolute time: 0:11:46.289593,  relative time: 0:00:00.000408
Generated 470000   programs,  absolute time: 0:11:46.289989,  relative time: 0:00:00.000396
Generated 470000   programs,  absolute time: 0:11:46.290373,  relative time: 0:00:00.000384
Generated 470000   programs,  absolute time: 0:11:46.290944,  relative time: 0:00:00.000571
Generated 480000   programs,  absolute time: 0:12:01.485875,  relative time: 0:00:15.194931
Generated 480000   programs,  absolute time: 0:12:01.486323,  relative time: 0:00:00.000448
Generated 480000   programs,  absolute time: 0:12:01.486716,  relative time: 0:00:00.000393
Generated 490000   programs,  absolute time: 0:12:16.625528,  relative time: 0:00:15.138812
Generated 500000   programs,  absolute time: 0:12:31.685156,  relative time: 0:00:15.059628
Generated 500000   programs,  absolute time: 0:12:31.685582,  relative time: 0:00:00.000426
Generated 500000   programs,  absolute time: 0:12:31.685992,  relative time: 0:00:00.000410
Generated 500000   programs,  absolute time: 0:12:31.686377,  relative time: 0:00:00.000385
Generated 500000   programs,  absolute time: 0:12:31.686818,  relative time: 0:00:00.000441
Generated 510000   programs,  absolute time: 0:12:46.755918,  relative time: 0:00:15.069100
Generated 510000   programs,  absolute time: 0:12:46.756312,  relative time: 0:00:00.000394
Generated 510000   programs,  absolute time: 0:12:46.756750,  relative time: 0:00:00.000438
Generated 510000   programs,  absolute time: 0:12:46.757147,  relative time: 0:00:00.000397
Generated 510000   programs,  absolute time: 0:12:46.757517,  relative time: 0:00:00.000370
Generated 520000   programs,  absolute time: 0:13:02.026810,  relative time: 0:00:15.269293
Generated 520000   programs,  absolute time: 0:13:02.027215,  relative time: 0:00:00.000405
Generated 520000   programs,  absolute time: 0:13:02.027620,  relative time: 0:00:00.000405
Generated 530000   programs,  absolute time: 0:13:17.063719,  relative time: 0:00:15.036099
Generated 530000   programs,  absolute time: 0:13:17.064329,  relative time: 0:00:00.000610
Generated 530000   programs,  absolute time: 0:13:17.064657,  relative time: 0:00:00.000328
