Generated 420000  programs,  absolute time: 0:07:47.890117,  relative time: 0:00:09.642113
Generated 420000  programs,  absolute time: 0:07:47.890698,  relative time: 0:00:00.000581
Generated 420000  programs,  absolute time: 0:07:47.891094,  relative time: 0:00:00.000396
Generated 430000  programs,  absolute time: 0:07:57.515103,  relative time: 0:00:09.624009
Generated 430000  programs,  absolute time: 0:07:57.515522,  relative time: 0:00:00.000419
Generated 430000  programs,  absolute time: 0:07:57.515926,  relative time: 0:00:00.000404
Generated 430000  programs,  absolute time: 0:07:57.516312,  relative time: 0:00:00.000386
Generated 430000  programs,  absolute time: 0:07:57.516619,  relative time: 0:00:00.000307
Generated 430000  programs,  absolute time: 0:07:57.517188,  relative time: 0:00:00.000569
Generated 430000  programs,  absolute time: 0:07:57.517570,  relative time: 0:00:00.000382
Generated 430000  programs,  absolute time: 0:07:57.517918,  relative time: 0:00:00.000348
Generated 430000  programs,  absolute time: 0:07:57.518307,  relative time: 0:00:00.000389
Generated 440000  programs,  absolute time: 0:08:07.095550,  relative time: 0:00:09.577243
Generated 450000  programs,  absolute time: 0:08:16.656313,  relative time: 0:00:09.560763
Generated 450000  programs,  absolute time: 0:08:16.656701,  relative time: 0:00:00.000388
Generated 460000  programs,  absolute time: 0:08:26.242222,  relative time: 0:00:09.585521
Generated 460000  programs,  absolute time: 0:08:26.242613,  relative time: 0:00:00.000391
Generated 460000  programs,  absolute time: 0:08:26.242959,  relative time: 0:00:00.000346
Generated 460000  programs,  absolute time: 0:08:26.243365,  relative time: 0:00:00.000406
Generated 460000  programs,  absolute time: 0:08:26.243759,  relative time: 0:00:00.000394
Generated 470000  programs,  absolute time: 0:08:35.896141,  relative time: 0:00:09.652382
Generated 470000  programs,  absolute time: 0:08:35.896579,  relative time: 0:00:00.000438
Generated 470000  programs,  absolute time: 0:08:35.896980,  relative time: 0:00:00.000401
Generated 470000  programs,  absolute time: 0:08:35.897352,  relative time: 0:00:00.000372
Generated 480000  programs,  absolute time: 0:08:45.550660,  relative time: 0:00:09.653308
Generated 480000  programs,  absolute time: 0:08:45.551044,  relative time: 0:00:00.000384
Generated 480000  programs,  absolute time: 0:08:45.551502,  relative time: 0:00:00.000458
Generated 490000  programs,  absolute time: 0:08:55.050217,  relative time: 0:00:09.498715
Generated 500000  programs,  absolute time: 0:09:04.680653,  relative time: 0:00:09.630436
Generated 510000  programs,  absolute time: 0:09:14.259064,  relative time: 0:00:09.578411
Generated 510000  programs,  absolute time: 0:09:14.259463,  relative time: 0:00:00.000399
Generated 510000  programs,  absolute time: 0:09:14.260067,  relative time: 0:00:00.000604
Generated 520000  programs,  absolute time: 0:09:23.974637,  relative time: 0:00:09.714570
Generated 520000  programs,  absolute time: 0:09:23.975036,  relative time: 0:00:00.000399
Generated 520000  programs,  absolute time: 0:09:23.975440,  relative time: 0:00:00.000404
Generated 530000  programs,  absolute time: 0:09:33.612341,  relative time: 0:00:09.636901
Generated 530000  programs,  absolute time: 0:09:33.612780,  relative time: 0:00:00.000439
Generated 540000  programs,  absolute time: 0:09:43.178332,  relative time: 0:00:09.565552
Generated 550000  programs,  absolute time: 0:09:52.791563,  relative time: 0:00:09.613231
Generated 550000  programs,  absolute time: 0:09:52.791954,  relative time: 0:00:00.000391
Generated 550000  programs,  absolute time: 0:09:52.792350,  relative time: 0:00:00.000396
Generated 550000  programs,  absolute time: 0:09:52.792724,  relative time: 0:00:00.000374
Generated 560000  programs,  absolute time: 0:10:02.417424,  relative time: 0:00:09.624700
Generated 570000  programs,  absolute time: 0:10:11.985977,  relative time: 0:00:09.568553
Generated 570000  programs,  absolute time: 0:10:11.986395,  relative time: 0:00:00.000418
Generated 580000  programs,  absolute time: 0:10:21.565559,  relative time: 0:00:09.579164
Generated 580000  programs,  absolute time: 0:10:21.566176,  relative time: 0:00:00.000617
Generated 580000  programs,  absolute time: 0:10:21.566566,  relative time: 0:00:00.000390
Generated 590000  programs,  absolute time: 0:10:31.255906,  relative time: 0:00:09.689340
Generated 590000  programs,  absolute time: 0:10:31.256383,  relative time: 0:00:00.000477
Generated 600000  programs,  absolute time: 0:10:40.832211,  relative time: 0:00:09.575828
Generated 610000  programs,  absolute time: 0:10:50.502976,  relative time: 0:00:09.670765
Generated 620000  programs,  absolute time: 0:11:00.144416,  relative time: 0:00:09.641440
Generated 630000  programs,  absolute time: 0:11:09.720275,  relative time: 0:00:09.575859
Generated 640000  programs,  absolute time: 0:11:19.324822,  relative time: 0:00:09.604547
Generated 640000  programs,  absolute time: 0:11:19.325226,  relative time: 0:00:00.000404
