Generated 340000 programs,  absolute time: 0:04:59.300610,  relative time: 0:00:00.000378
Generated 350000 programs,  absolute time: 0:05:08.150313,  relative time: 0:00:08.849703
Generated 360000 programs,  absolute time: 0:05:16.965599,  relative time: 0:00:08.815286
Generated 360000 programs,  absolute time: 0:05:16.965941,  relative time: 0:00:00.000342
Generated 370000 programs,  absolute time: 0:05:25.851150,  relative time: 0:00:08.885209
Generated 380000 programs,  absolute time: 0:05:34.624843,  relative time: 0:00:08.773693
Generated 380000 programs,  absolute time: 0:05:34.625233,  relative time: 0:00:00.000390
Generated 390000 programs,  absolute time: 0:05:43.349847,  relative time: 0:00:08.724614
Generated 390000 programs,  absolute time: 0:05:43.350240,  relative time: 0:00:00.000393
Generated 390000 programs,  absolute time: 0:05:43.350620,  relative time: 0:00:00.000380
Generated 400000 programs,  absolute time: 0:05:52.094300,  relative time: 0:00:08.743680
Generated 400000 programs,  absolute time: 0:05:52.094695,  relative time: 0:00:00.000395
Generated 400000 programs,  absolute time: 0:05:52.095052,  relative time: 0:00:00.000357
Generated 400000 programs,  absolute time: 0:05:52.095402,  relative time: 0:00:00.000350
Generated 400000 programs,  absolute time: 0:05:52.095783,  relative time: 0:00:00.000381
Generated 400000 programs,  absolute time: 0:05:52.096166,  relative time: 0:00:00.000383
Generated 410000 programs,  absolute time: 0:06:00.842724,  relative time: 0:00:08.746558
Generated 410000 programs,  absolute time: 0:06:00.843071,  relative time: 0:00:00.000347
Generated 410000 programs,  absolute time: 0:06:00.843679,  relative time: 0:00:00.000608
Generated 410000 programs,  absolute time: 0:06:00.844047,  relative time: 0:00:00.000368
Generated 420000 programs,  absolute time: 0:06:09.581287,  relative time: 0:00:08.737240
Generated 420000 programs,  absolute time: 0:06:09.581673,  relative time: 0:00:00.000386
Generated 430000 programs,  absolute time: 0:06:18.448966,  relative time: 0:00:08.867293
Generated 440000 programs,  absolute time: 0:06:27.280726,  relative time: 0:00:08.831760
Generated 440000 programs,  absolute time: 0:06:27.281125,  relative time: 0:00:00.000399
Generated 440000 programs,  absolute time: 0:06:27.281498,  relative time: 0:00:00.000373
Generated 440000 programs,  absolute time: 0:06:27.281870,  relative time: 0:00:00.000372
Generated 440000 programs,  absolute time: 0:06:27.282232,  relative time: 0:00:00.000362
Generated 450000 programs,  absolute time: 0:06:35.941411,  relative time: 0:00:08.659179
Generated 460000 programs,  absolute time: 0:06:44.683824,  relative time: 0:00:08.742413
Generated 460000 programs,  absolute time: 0:06:44.684213,  relative time: 0:00:00.000389
Generated 460000 programs,  absolute time: 0:06:44.684586,  relative time: 0:00:00.000373
Generated 470000 programs,  absolute time: 0:06:53.481616,  relative time: 0:00:08.797030
Generated 470000 proGenerated 350000  programs,  absolute time: 0:11:10.116956,  relative time: 0:00:18.075748
Generated 350000  programs,  absolute time: 0:11:10.117463,  relative time: 0:00:00.000507
Generated 360000  programs,  absolute time: 0:11:28.454677,  relative time: 0:00:18.337214
Generated 360000  programs,  absolute time: 0:11:28.455125,  relative time: 0:00:00.000448
Generated 370000  programs,  absolute time: 0:11:46.612864,  relative time: 0:00:18.157739
Generated 370000  programs,  absolute time: 0:11:46.613352,  relative time: 0:00:00.000488
Generated 370000  programs,  absolute time: 0:11:46.613835,  relative time: 0:00:00.000483
Generated 380000  programs,  absolute time: 0:12:04.777413,  relative time: 0:00:18.163578
Generated 380000  programs,  absolute time: 0:12:04.777879,  relative time: 0:00:00.000466
Generated 380000  programs,  absolute time: 0:12:04.778343,  relative time: 0:00:00.000464
Generated 380000  programs,  absolute time: 0:12:04.778780,  relative time: 0:00:00.000437
Generated 380000  programs,  absolute time: 0:12:04.779175,  relative time: 0:00:00.000395
Generated 390000  programs,  absolute time: 0:12:22.954633,  relative time: 0:00:18.175458
Generated 390000  programs,  absolute time: 0:12:22.955098,  relative time: 0:00:00.000465
Generated 400000  programs,  absolute time: 0:12:41.324355,  relative time: 0:00:18.369257
Generated 410000  programs,  absolute time: 0:12:59.663710,  relative time: 0:00:18.339355
Generated 410000  programs,  absolute time: 0:12:59.664160,  relative time: 0:00:00.000450
Generated 410000  programs,  absolute time: 0:12:59.664612,  relative time: 0:00:00.000452
Generated 420000  programs,  absolute time: 0:13:18.004007,  relative time: 0:00:18.339395
